seqnames	start	end	width	strand	Conc	Conc_MB6	Conc_Ctrl	Fold	p.value	FDR	NearestGene	DistanceToNearest
chr12	61146362	61146696	335	*	3.28	2.14	3.9	-1.76	0.00016	0.0164	RP11-154D9.1	333288
chr15	83478087	83479411	1325	*	7.76	7.93	7.56	0.37	0.00016	0.0164	WHAMM	0
chr2	92281231	92281435	205	*	3.39	3.94	2.48	1.47	0.00016	0.0164	AC128677.4	58205
chr9	34048374	34049681	1308	*	7.36	7.65	7	0.65	0.00016	0.0164	UBAP2	0
chr17	35766480	35767619	1140	*	6.47	6.77	6.09	0.68	0.00016	0.0164	ACACA; TADA2A	0
chr1	38155919	38156539	621	*	6.03	6.4	5.54	0.87	0.000161	0.0165	C1orf109	0
chr17	8152274	8152942	669	*	5.14	5.51	4.64	0.88	0.000162	0.0165	PFAS	0
chr8	74371846	74372255	410	*	3.38	2.44	3.94	-1.5	0.000163	0.0166	STAU2	0
chr22	45636414	45637426	1013	*	6.28	6.66	5.76	0.9	0.000164	0.0167	KIAA0930	0
chr2	8821894	8822476	583	*	7.08	7.3	6.83	0.46	0.000164	0.0167	AC011747.7; ID2	0
chr3	51704837	51705701	865	*	7.1	7.35	6.79	0.56	0.000165	0.0167	TEX264	0
chr15	22571124	22571430	307	*	3.2	2.08	3.82	-1.74	0.000165	0.0167	RP11-603B24.1	301
chr18	28826410	28826865	456	*	4.31	3.63	4.77	-1.14	0.000165	0.0167	DSG1	71186
chr12	82062246	82062636	391	*	5.16	5.52	4.68	0.84	0.000166	0.0167	PPFIA2	0
chr6	36702694	36703375	682	*	5.76	6.06	5.38	0.68	0.000166	0.0168	RP3-431A14.4	1451
chr2	133015116	133015338	223	*	6.23	6.56	5.79	0.77	0.000168	0.017	ANKRD30BL	0
chr16	28834751	28835861	1111	*	6.74	7.18	6.09	1.08	0.000169	0.017	ATXN2L	0
chr19	18528215	18528788	574	*	5.82	6.16	5.36	0.8	0.000169	0.017	SSBP4	885
chrX	4158073	4159313	1241	*	6.41	6.05	6.69	-0.64	0.000171	0.0171	RP11-706O15.8	286471
chr1	68813071	68813430	360	*	4.31	3.63	4.77	-1.14	0.000171	0.0171	TCEB1P18	27579
chrX	112004609	112005331	723	*	4.87	4.32	5.27	-0.95	0.000171	0.0171	AMOT	12399
chrY	10033424	10033639	216	*	5.87	6.2	5.45	0.76	0.000171	0.0171	AC010970.1	341
chr1	149764076	149764323	248	*	3.48	4.1	2.35	1.75	0.000172	0.0171	HIST2H2BF; RP11-196G18.21; RP11-196G18.3	0
chr20	32254420	32255011	592	*	5.68	6.03	5.21	0.81	0.000172	0.0171	NECAB3; ACTL10	0
chr1	47081876	47082733	858	*	6.1	6.4	5.71	0.69	0.000172	0.0172	MKNK1; MOB3C	0
chr19	27732532	27732865	334	*	4.96	5.34	4.44	0.9	0.000173	0.0172	CTB-151G24.1	396525
chr12	12877768	12879082	1315	*	7.83	8.16	7.38	0.78	0.000173	0.0172	APOLD1	0
chr10	69523244	69524423	1180	*	7.81	7.97	7.63	0.34	0.000174	0.0172	AKR1B10P1	12261
chr14	75535813	75536630	818	*	5.81	6.14	5.38	0.76	0.000174	0.0172	ACYP1; ZC2HC1C	0
chr6	19579968	19580375	408	*	3.86	3.03	4.39	-1.35	0.000174	0.0172	RP1-167F1.2	0
chr2	73441014	73441899	886	*	6.97	7.21	6.68	0.53	0.000174	0.0172	SMYD5	0
chr15	69744888	69745834	947	*	6.39	6.68	6.03	0.65	0.000175	0.0172	RPLP1	0
chr18	72518957	72519507	551	*	4.12	3.37	4.61	-1.24	0.000175	0.0172	ZNF407	0
chr19	14529696	14530599	904	*	6.38	6.7	5.97	0.72	0.000175	0.0172	DDX39A	0
chr1	212964696	212965531	836	*	7.51	7.82	7.13	0.69	0.000178	0.0174	NSL1; TATDN3	0
chr1	569731	570042	312	*	6.93	7.29	6.45	0.83	0.000178	0.0174	RP5-857K21.4; MTATP6P1; RP5-857K21.11	0
chr21	35013749	35015433	1685	*	7.57	7.84	7.25	0.59	0.000178	0.0174	AP000304.12; CRYZL1; ITSN1	0
chr1	38157414	38158445	1032	*	7.19	7.46	6.85	0.61	0.000178	0.0174	C1orf109; CDCA8	0
chr3	50329471	50330311	841	*	7.25	7.5	6.94	0.57	0.000178	0.0174	IFRD2; HYAL3	0
chr19	2235688	2237161	1474	*	7.04	7.42	6.5	0.92	0.000178	0.0174	PLEKHJ1; SF3A2	0
chr18	18518771	18519139	369	*	4.4	4.82	3.8	1.02	0.000179	0.0174	ROCK1	7727
chr14	93066396	93067205	810	*	4.79	5.18	4.26	0.93	0.000179	0.0174	RIN3	0
chr5	155964698	155965023	326	*	3.03	1.91	3.66	-1.74	0.000179	0.0174	SGCD	0
chr1	28994888	28996163	1276	*	6.97	7.33	6.48	0.85	0.000179	0.0174	GMEB1	0
chr19	14247140	14248144	1005	*	7.49	7.84	7.03	0.82	0.00018	0.0174	ASF1B; CTB-55O6.12	0
chr1	28907802	28908835	1034	*	6.61	6.88	6.29	0.59	0.00018	0.0174	SNHG12	0
chr20	42838953	42839947	995	*	6.78	7.1	6.37	0.72	0.000181	0.0176	OSER1; OSER1-AS1	0
chr16	21531423	21532066	644	*	6.57	6.88	6.17	0.7	0.000181	0.0176	CTD-2547E10.2; SLC7A5P2	0
chr20	12183156	12183544	389	*	3.21	1.98	3.86	-1.88	0.000182	0.0176	RP4-796I8.1	40998
chr22	35653242	35654148	907	*	5.73	6.1	5.23	0.87	0.000182	0.0176	HMGXB4	0
chr2	111879690	111880525	836	*	6.68	6.96	6.33	0.63	0.000182	0.0176	BCL2L11	0
chrY	16983820	16984307	488	*	3.96	3.22	4.44	-1.22	0.000183	0.0176	NLGN4Y	26290
chr4	92266852	92267396	545	*	3.99	3.19	4.5	-1.31	0.000184	0.0177	CCSER1	0
chr22	42486213	42487347	1135	*	7.01	7.33	6.6	0.73	0.000184	0.0177	NDUFA6; NDUFA6-AS1	0
chr1	161359440	161360488	1049	*	7.21	7.46	6.92	0.54	0.000184	0.0177	RRM2P2	10292
chr19	48111216	48112468	1253	*	6.15	6.48	5.7	0.78	0.000185	0.0177	CTD-2571L23.8; GLTSCR1	0
chr17	26971853	26972628	776	*	6.4	6.74	5.97	0.77	0.000186	0.0178	KIAA0100	0
chrX	61717733	61717960	228	*	4.83	5.21	4.31	0.91	0.000186	0.0178	RP11-3D23.1	280759
chr20	47537889	47538774	886	*	6.22	6.54	5.81	0.73	0.000188	0.018	ARFGEF2	0
chrX	41351002	41351345	344	*	2.98	3.61	1.84	1.77	0.000189	0.0181	NYX	16039
chr17	38375348	38376135	788	*	5.2	5.61	4.62	0.99	0.00019	0.0181	WIPF2	0
chr1	28585558	28586915	1358	*	6.89	7.22	6.46	0.76	0.00019	0.0181	SESN2	0
chr10	102045759	102046777	1019	*	6.66	6.91	6.36	0.55	0.000191	0.0181	BLOC1S2	0
chr19	41304571	41305492	922	*	7.11	7.5	6.59	0.9	0.000191	0.0181	RAB4B-EGLN2; EGLN2	0
chr22	22292023	22292873	851	*	5.97	6.26	5.61	0.65	0.000191	0.0181	PPM1F; LL22NC03-86G7.1	0
chr17	2206488	2207545	1058	*	6.64	7.01	6.14	0.88	0.000191	0.0181	SMG6; SRR	0
chr9	73033702	73036021	2320	*	8.91	9.1	8.68	0.42	0.000191	0.0181	KLF9	4162
chr12	123011028	123012064	1037	*	7.31	7.65	6.86	0.79	0.000192	0.0181	RSRC2; KNTC1	0
chr22	39928525	39929155	631	*	6.24	6.59	5.76	0.83	0.000193	0.0182	RPS19BP1	0
chr16	30388902	30390393	1492	*	7.1	7.39	6.73	0.66	0.000194	0.0182	MYLPF; ZNF48; SEPT1; SEPT1	0
chr11	61129079	61129977	899	*	6.63	6.93	6.25	0.68	0.000195	0.0183	CYB561A3; TMEM138	0
chr10	42380168	42380359	192	*	3.49	4.02	2.64	1.38	0.000195	0.0183	KSR1P1	264398
chr3	127391188	127392344	1157	*	6.58	6.88	6.2	0.68	0.000195	0.0183	PODXL2; ABTB1	0
chr19	1863371	1864578	1208	*	7.9	8.32	7.29	1.03	0.000195	0.0183	KLF16	0
chr8	100508027	100508248	222	*	5.09	5.46	4.59	0.87	0.000196	0.0184	VPS13B	0
chr12	53399726	53400506	781	*	6.99	7.37	6.49	0.87	0.000196	0.0184	EIF4B	0
chr19	48824493	48825571	1079	*	7.01	7.38	6.5	0.88	0.000198	0.0185	CCDC114; EMP3	0
chr17	37331236	37331498	263	*	3.23	3.77	2.36	1.42	0.000198	0.0185	RP5-906A24.2; CACNB1	0
chr21	34099567	34101049	1483	*	7.13	7.39	6.82	0.57	0.000198	0.0185	SYNJ1; PAXBP1-AS1	0
chr10	24841195	24841636	442	*	3.24	2.2	3.84	-1.64	0.000198	0.0185	KIAA1217	4423
chr17	45266183	45267087	905	*	7.02	7.29	6.69	0.6	0.000198	0.0185	CDC27	0
chr19	2151145	2152152	1008	*	6.92	7.26	6.47	0.79	0.000199	0.0185	AP3D1	0
chr14	82315932	82316454	523	*	4.7	4.09	5.12	-1.03	0.000199	0.0185	RP11-666E17.1	0
chr11	64794688	64795421	734	*	5.66	5.98	5.25	0.74	2e-04	0.0185	RP11-399J13.3; SNX15	0
chr19	50143188	50144177	990	*	7.38	7.79	6.83	0.96	0.000201	0.0186	RRAS	0
chr9	33024801	33025980	1180	*	7.2	7.5	6.83	0.68	0.000201	0.0186	APTX; DNAJA1	0
chr16	3184354	3185493	1140	*	6.64	6.93	6.27	0.65	0.000202	0.0186	RP11-473M20.14; ZNF213	0
chr17	7482326	7483217	892	*	6.92	7.33	6.35	0.98	0.000202	0.0187	SNORA67; CD68	0
chr17	27055493	27056207	715	*	6.7	7.09	6.16	0.93	0.000203	0.0187	NEK8	0
chr3	78325152	78325463	312	*	2.52	0.91	3.27	-2.36	0.000203	0.0187	RP11-314M24.1	0
chr20	62151322	62152795	1474	*	7.03	7.31	6.68	0.63	0.000203	0.0187	PPDPF	0
chr22	21355840	21356844	1005	*	6.4	6.68	6.05	0.63	0.000203	0.0187	THAP7; THAP7-AS1	0
chr19	10527046	10527829	784	*	6.46	6.86	5.92	0.95	0.000207	0.019	CDC37; PDE4A	0
chr1	109756184	109757219	1036	*	6.17	6.47	5.8	0.68	0.000207	0.019	SARS	0
chr12	49523920	49525571	1652	*	7.44	7.84	6.89	0.94	0.000207	0.019	RP11-386G11.10; TUBA1B	0
chr17	7464985	7465456	472	*	5.29	5.68	4.76	0.92	0.000208	0.019	SENP3	0
chr15	70778702	70779517	816	*	6.16	6.45	5.78	0.66	0.000208	0.019	RP11-96C21.1	16728
chr16	87441175	87441766	592	*	5.63	5.95	5.22	0.73	0.00021	0.0191	ZCCHC14	0
chr4	41935960	41936866	907	*	6.81	7.02	6.55	0.46	0.00021	0.0191	TMEM33	270
chr8	52810893	52812518	1626	*	8.65	8.9	8.36	0.53	0.00021	0.0191	PCMTD1; RP11-110G21.1	0
chr19	36208131	36209189	1059	*	7.26	7.62	6.78	0.85	0.00021	0.0191	KMT2B; KMT2B	0
chr3	51533150	51534454	1305	*	7.98	8.31	7.56	0.75	0.000211	0.0191	VPRBP	0
chr3	191013736	191014311	576	*	6.31	6	6.57	-0.57	0.000211	0.0192	UTS2B	0
chr2	196530986	196531469	484	*	3.89	3.05	4.42	-1.37	0.000212	0.0192	SLC39A10	0
chr7	37071498	37071971	474	*	5.28	5.64	4.81	0.83	0.000213	0.0192	ELMO1	0
chr5	14593805	14594167	363	*	4.42	3.74	4.88	-1.14	0.000213	0.0193	FAM105A	0
chr1	155278138	155278978	841	*	6.5	6.76	6.19	0.57	0.000215	0.0194	FDPS	0
chr2	238110489	238111041	553	*	5.08	5.48	4.54	0.94	0.000216	0.0194	AC112715.2	54692
chr17	19280955	19282139	1185	*	7.36	7.64	7.01	0.64	0.000216	0.0194	B9D1; MAPK7	0
chr5	106490348	106490657	310	*	2.4	0.84	3.13	-2.29	0.000216	0.0194	PSMC1P5	40199
chr4	101349152	101349601	450	*	4.34	4.78	3.7	1.08	0.000217	0.0195	EMCN	0
chr2	167324741	167325482	742	*	5.58	5.11	5.94	-0.83	0.000217	0.0195	SCN7A	0
chr16	24550334	24551547	1214	*	7.28	7.55	6.95	0.6	0.000217	0.0195	RBBP6	0
chr6	37786363	37788245	1883	*	8.28	8.57	7.92	0.65	0.000218	0.0195	RP3-441A12.1; ZFAND3	0
chr17	38497409	38497954	546	*	4.88	5.29	4.3	0.99	0.000218	0.0195	RARA; CTD-2267D19.2	0
chr11	65341609	65342240	632	*	6.61	7.03	6.03	1	0.000218	0.0195	FAM89B	0
chr16	67926823	67927802	980	*	6.36	6.6	6.07	0.54	0.000219	0.0195	PSKH1	0
chr16	33965398	33965712	315	*	6.52	6.84	6.12	0.72	0.000219	0.0195	RNA5-8SP2	0
chr1	227079734	227080437	704	*	5.7	6	5.31	0.69	0.000219	0.0195	PSEN2	0
chr17	41622986	41624208	1223	*	6.13	6.43	5.74	0.69	0.00022	0.0195	ETV4; RP11-392O1.4	0
chr6	30654656	30655449	794	*	7.09	7.45	6.61	0.83	0.00022	0.0196	PPP1R18	0
chr10	125979636	125980425	790	*	6.4	6.66	6.09	0.58	0.000221	0.0196	OAT	105446
chr17	7517689	7518791	1103	*	7.26	7.66	6.7	0.96	0.000222	0.0196	FXR2; SHBG	0
chr11	58909942	58910643	702	*	6.46	6.7	6.17	0.53	0.000222	0.0196	AP001258.4; AP001258.5; FAM111A	0
chr1	26560154	26561354	1201	*	7.12	7.43	6.72	0.71	0.000222	0.0196	CEP85	0
chr2	194759973	194760410	438	*	3.63	2.7	4.19	-1.49	0.000223	0.0197	RP11-764E7.1	2680
chr8	66867989	66868318	330	*	4.87	4.34	5.26	-0.92	0.000223	0.0197	DNAJC5B	65476
chr17	60142245	60142896	652	*	5.37	5.72	4.91	0.81	0.000224	0.0197	MED13	0
chr17	7154985	7156153	1169	*	7.16	7.58	6.56	1.02	0.000225	0.0198	CTDNEP1; RP1-4G17.5; ELP5	0
chr4	142273665	142273892	228	*	2.7	1.37	3.38	-2	0.000226	0.0198	RP11-362F19.1	19893
chr17	8286321	8287335	1015	*	6.66	7.04	6.16	0.88	0.000226	0.0198	RP11-849F2.7; RPL26	0
chr6	12491163	12491687	525	*	3.8	4.32	2.96	1.36	0.000228	0.02	RPL15P3	22654
chr1	16212628	16213163	536	*	5.4	5.73	4.96	0.77	0.000229	0.02	SPEN	0
chr1	198425029	198425432	404	*	3.4	2.41	3.98	-1.56	0.00023	0.0201	ATP6V1G3	66919
chr5	23305288	23305505	218	*	2.23	2.92	0.82	2.1	0.000231	0.0202	CTD-2272G21.2	36
chr13	101984045	101984492	448	*	4.17	3.48	4.63	-1.15	0.000231	0.0202	NALCN	0
chr22	50945831	50947187	1357	*	7.27	7.67	6.71	0.96	0.000231	0.0202	LMF2; NCAPH2	0
chr16	46416803	46417354	552	*	4.91	5.28	4.4	0.88	0.000231	0.0202	ANKRD26P1	85898
chr19	45348777	45349836	1060	*	6.52	6.89	6.02	0.88	0.000232	0.0202	PVRL2	0
chr2	48133354	48134289	936	*	7.1	7.35	6.81	0.54	0.000234	0.0204	AC079807.2	0
chr6	112497434	112497699	266	*	3.12	2	3.74	-1.74	0.000235	0.0204	LAMA4	0
chr3	49448908	49450138	1231	*	7.53	7.91	7.02	0.89	0.000236	0.0205	RHOA; TCTA	0
chr1	211210409	211210762	354	*	4.34	4.78	3.7	1.09	0.000237	0.0206	KCNH1	0
chr18	57543439	57543751	313	*	3.34	2.39	3.9	-1.51	0.000238	0.0206	PMAIP1	23428
chr1	165599778	165601501	1724	*	8.34	8.52	8.14	0.38	0.000238	0.0206	MGST3	0
chr1	241810967	241811490	524	*	5.99	6.26	5.65	0.61	0.000239	0.0206	OPN3	0
chr6	104815417	104815966	550	*	5.2	4.71	5.56	-0.85	0.000239	0.0206	RP11-427E4.1	319149
chr3	178505752	178506091	340	*	4.06	3.24	4.58	-1.34	0.00024	0.0206	KCNMB2; RP11-385J1.2	0
chr1	29609610	29610262	653	*	4.33	4.78	3.68	1.09	0.00024	0.0206	PTPRU	0
chr12	12715442	12716134	693	*	6.43	6.8	5.93	0.86	0.00024	0.0206	DUSP16	125
chr1	72474847	72475169	323	*	2.53	1.13	3.22	-2.09	0.000241	0.0207	NEGR1	0
chr13	45914570	45915938	1369	*	8.05	8.4	7.59	0.81	0.000242	0.0208	TPT1; RP11-290D2.6; TPT1-AS1	0
chr5	55164651	55164980	330	*	3.66	4.17	2.85	1.32	0.000242	0.0208	IL31RA	0
chr6	109702951	109704660	1710	*	8.22	8.53	7.83	0.71	0.000243	0.0208	CD164; RP11-425D10.10	0
chr12	124937888	124938552	665	*	6.43	6.68	6.14	0.54	0.000244	0.0208	NCOR2	0
chrX	9842062	9842340	279	*	2.52	1.13	3.21	-2.08	0.000244	0.0208	SHROOM2	0
chr3	39685711	39686097	387	*	3.86	4.35	3.12	1.23	0.000244	0.0208	NFU1P1	0
chr19	40948942	40949445	504	*	6.28	6.58	5.89	0.69	0.000245	0.0208	SERTAD3; CTC-492K19.4	0
chr6	41195873	41196779	907	*	5.28	5.61	4.83	0.78	0.000247	0.021	TREML4	0
chr3	50387930	50388735	806	*	6.92	7.13	6.67	0.47	0.000248	0.0211	NPRL2; CYB561D2; XXcos-LUCA11.5	0
chr2	149350270	149350853	584	*	4.94	5.32	4.42	0.89	0.000249	0.0212	AC017080.1	1873
chr6	40404268	40404915	648	*	4.57	4.98	4	0.99	0.00025	0.0212	LRFN2	0
chr12	6642966	6644537	1572	*	7.45	7.86	6.87	0.99	0.00025	0.0212	GAPDH	0
chr2	113402819	113404060	1242	*	7.94	8.27	7.52	0.75	0.000251	0.0212	AC079922.3; SLC20A1	0
chr12	57081688	57082735	1048	*	7.24	7.56	6.83	0.74	0.000251	0.0212	PTGES3	0
chr12	7000026	7000747	722	*	6.47	6.82	6.02	0.8	0.000251	0.0212	LRRC23	0
chr1	46974454	46974731	278	*	3.5	4.02	2.67	1.35	0.000252	0.0213	DMBX1	0
chr4	153498867	153499201	335	*	3.58	2.59	4.16	-1.57	0.000252	0.0213	RP11-555K12.1	25351
chr5	127789348	127789880	533	*	4.67	4.11	5.08	-0.97	0.000253	0.0213	FBN2	0
chr1	156698135	156699007	873	*	6.8	7.11	6.41	0.69	0.000254	0.0214	ISG20L2; RRNAD1	0
chr8	145549924	145551111	1188	*	8.03	8.36	7.59	0.78	0.000254	0.0214	DGAT1	0
chr12	44095063	44095564	502	*	3.69	2.82	4.23	-1.41	0.000255	0.0214	RP11-350F4.2	17231
chrX	126321009	126321425	417	*	3.24	2.2	3.84	-1.64	0.000255	0.0214	RP3-428A13.1	202898
chr19	59086564	59087355	792	*	6.91	7.15	6.61	0.54	0.000255	0.0214	RPL23AP79	0
chr16	28833816	28834736	921	*	6.44	6.81	5.93	0.88	0.000256	0.0214	ATXN2L	0
chr2	74405436	74406286	851	*	6.99	7.27	6.64	0.63	0.000256	0.0214	MOB1A	0
chr1	154154675	154156047	1373	*	6.85	7.14	6.5	0.64	0.000257	0.0215	TPM3	0
chr16	89555584	89556120	537	*	5.96	6.25	5.58	0.67	0.000258	0.0215	ANKRD11	0
chr6	10084575	10085254	680	*	5.9	5.54	6.18	-0.64	0.000259	0.0216	OFCC1	0
chr22	42228442	42229736	1295	*	7.43	7.81	6.91	0.91	0.00026	0.0216	RP5-821D11.7; SREBF2	0
chr5	103521850	103522255	406	*	3.73	2.74	4.32	-1.58	0.000261	0.0217	RN7SL255P	73978
chr8	134538809	134539413	605	*	7.05	7.25	6.82	0.43	0.000261	0.0217	ST3GAL1	0
chr4	26320662	26321767	1106	*	7.78	8.01	7.52	0.49	0.000262	0.0217	RBPJ	0
chr1	24194358	24195218	861	*	5.92	6.22	5.54	0.68	0.000262	0.0217	FUCA1	0
chr16	14051060	14051960	901	*	6.32	6.58	6	0.58	0.000262	0.0217	CTD-2135D7.3	2378
chr1	153894756	153895965	1210	*	7.25	7.6	6.78	0.82	0.000263	0.0217	GATAD2B	0
chr1	28844404	28845271	868	*	6.19	6.48	5.84	0.63	0.000263	0.0217	RCC1	0
chrX	47077069	47078274	1206	*	7.19	7.52	6.78	0.74	0.000263	0.0217	CDK16	0
chr6	89789993	89791819	1827	*	8.74	9.03	8.36	0.67	0.000264	0.0217	RP11-63L7.5; PNRC1	0
chr22	24666389	24667536	1148	*	6.54	6.93	6.02	0.91	0.000265	0.0218	SPECC1L; SPECC1L-ADORA2A	0
chr12	43875713	43876996	1284	*	6.67	6.38	6.91	-0.52	0.000265	0.0218	ADAMTS20	0
chr4	171341374	171342036	663	*	4.78	4.24	5.17	-0.94	0.000266	0.0219	RP11-789C1.2	47912
chr17	76588270	76588951	682	*	6.28	6.54	5.97	0.57	0.000267	0.0219	DNAH17	14794
chr6	30584742	30585901	1160	*	8.02	8.32	7.63	0.7	0.000268	0.0219	PPP1R10; MRPS18B	0
chr21	45138593	45139606	1014	*	6.64	6.97	6.2	0.78	0.000268	0.0219	PDXK	0
chr2	158871981	158872467	487	*	4.08	3.31	4.58	-1.27	0.000268	0.0219	UPP2	0
chr18	12883544	12884654	1111	*	7.54	7.88	7.09	0.79	0.000269	0.022	PTPN2	0
chr20	49889000	49889359	360	*	3.25	2.23	3.84	-1.61	0.00027	0.0221	AL035457.1	94864
chr6	29617461	29618212	752	*	7.31	7.51	7.08	0.43	0.000271	0.0222	MOG	6545
chr20	44633702	44634162	461	*	4.81	5.19	4.28	0.91	0.000272	0.0222	MMP9	3384
chr12	6602053	6603492	1440	*	6.77	7.04	6.43	0.61	0.000274	0.0223	MRPL51; NCAPD2	0
chr15	76628639	76629269	631	*	6.62	6.91	6.27	0.64	0.000275	0.0224	ISL2	0
chr17	18761072	18761951	880	*	5.89	6.25	5.42	0.82	0.000277	0.0225	PRPSAP2	0
chr19	27738384	27738748	365	*	4.7	5.1	4.13	0.97	0.000278	0.0225	CTB-151G24.1	390642
chr6	75993939	75994991	1053	*	8.45	8.67	8.18	0.49	0.000278	0.0225	TMEM30A; RP1-234P15.4	0
chr11	67168898	67169704	807	*	6.68	7.1	6.1	1	0.000278	0.0225	PPP1CA	0
chr7	22898646	22899162	517	*	5.77	6.13	5.3	0.84	0.000278	0.0225	AC005682.5	0
chr19	46220443	46221075	633	*	6.18	6.47	5.81	0.66	0.000279	0.0225	FBXO46	0
chr12	6641705	6642084	380	*	5.22	5.63	4.63	1	0.000279	0.0225	RP5-940J5.3	0
chr10	124060670	124060987	318	*	3.58	4.13	2.69	1.44	0.000279	0.0225	BTBD16	0
chr7	154939582	154939862	281	*	3.2	3.78	2.22	1.56	0.000279	0.0225	RN7SKP280	33728
chrX	55729048	55729524	477	*	3.94	3.03	4.5	-1.47	0.00028	0.0225	RRAGB	14647
chr1	112050083	112051192	1110	*	6.73	6.95	6.48	0.47	0.00028	0.0225	ADORA3	0
chr3	112692560	112692885	326	*	2.94	1.85	3.56	-1.71	0.000281	0.0226	CD200R1	0
chr5	93603793	93604461	669	*	5.71	5.31	6.02	-0.72	0.000282	0.0226	KIAA0825	0
chr19	48672951	48674182	1232	*	6.86	7.21	6.41	0.8	0.000283	0.0227	LIG1; C19orf68	0
chr5	109212780	109213128	349	*	2.43	0.91	3.15	-2.24	0.000284	0.0227	AC011366.3	5754
chr1	177447552	177447895	344	*	3.65	2.79	4.19	-1.4	0.000285	0.0228	RP1-35C21.2	0
chr6	30538714	30539725	1012	*	7.32	7.53	7.08	0.45	0.000285	0.0228	ABCF1	0
chr17	42083852	42084737	886	*	5.67	6.14	4.99	1.15	0.000285	0.0228	NAGS	0
chr1	149223213	149224159	947	*	7.69	8	7.29	0.71	0.000286	0.0228	RNVU1-18	0
chr8	85831135	85831531	397	*	4.06	3.31	4.55	-1.24	0.000287	0.0228	RALYL	0
chr5	23419239	23419517	279	*	2.38	0.84	3.11	-2.26	0.000289	0.023	CTD-2351A8.1	37059
chr11	63974735	63975664	930	*	5.87	6.16	5.52	0.64	0.000289	0.023	FERMT3	0
chr20	43991483	43992391	909	*	6.7	7.06	6.23	0.83	0.000291	0.0231	SYS1; SYS1-DBNDD2	0
chr5	111110099	111110602	504	*	5.21	4.74	5.56	-0.83	0.000291	0.0231	NREP	0
chr10	42400254	42400554	301	*	4.83	5.2	4.33	0.88	0.000291	0.0231	KSR1P1	244203
chr19	2270623	2271201	579	*	5.8	6.14	5.35	0.78	0.000291	0.0231	OAZ1	0
chr19	38893370	38894446	1077	*	6.69	7	6.28	0.72	0.000292	0.0231	FAM98C	0
chr17	5322695	5323826	1132	*	6.76	7.08	6.35	0.72	0.000292	0.0231	NUP88; RPAIN	0
chr5	158789065	158789763	699	*	7.14	7.33	6.92	0.41	0.000294	0.0232	AC008697.1	0
chr4	3877795	3878143	349	*	4.16	4.58	3.54	1.04	0.000295	0.0233	OR7E163P	12939
chrX	65233107	65233738	632	*	5.74	5.37	6.04	-0.67	0.000295	0.0233	MIR223	4973
chr11	123978863	123979155	293	*	2.54	1.16	3.23	-2.08	0.000296	0.0233	OR10N1P	2188
chr8	129179816	129180413	598	*	4.78	5.17	4.25	0.93	0.000298	0.0234	MIR1208	17382
chr7	2429952	2430641	690	*	5.4	5.76	4.9	0.86	0.000298	0.0234	AC004840.8	1720
chr19	5680303	5681194	892	*	6.78	7.1	6.37	0.73	0.000299	0.0234	RPL36; C19orf70; HSD11B1L	0
chr10	123469152	123469580	429	*	4.61	5	4.07	0.93	0.000299	0.0234	RPS15AP5	3540
chr20	44485663	44486597	935	*	6.51	6.75	6.22	0.53	3e-04	0.0235	ACOT8; ZSWIM3	0
chr1	182573005	182573974	970	*	6.9	7.18	6.55	0.63	0.000301	0.0235	RGS16	0
chr16	27560756	27561765	1010	*	7.06	7.3	6.77	0.53	0.000302	0.0236	GTF3C1; KIAA0556	0
chr17	26988598	26989565	968	*	5.57	5.91	5.13	0.78	0.000303	0.0236	SDF2; SUPT6H	0
chr5	53519707	53520324	618	*	5.3	4.85	5.65	-0.81	0.000304	0.0237	ARL15	0
chr1	156736824	156737724	901	*	7.06	7.3	6.77	0.52	0.000305	0.0237	PRCC	0
chr19	40696534	40697804	1271	*	6.05	6.32	5.72	0.61	0.000305	0.0237	MAP3K10	0
chr3	190251202	190251743	542	*	5.34	5.68	4.91	0.77	0.000306	0.0237	IL1RAP	0
chr19	7600135	7600922	788	*	5.61	5.92	5.2	0.72	0.000306	0.0237	CTD-2207O23.10; PNPLA6	0
chr5	175192850	175193237	388	*	3.73	4.2	3.03	1.17	0.000306	0.0237	CPLX2	30075
chr16	53357874	53358373	500	*	4.12	3.44	4.58	-1.15	0.000306	0.0238	CHD9	0
chr18	33273702	33274156	455	*	3.2	2.16	3.8	-1.64	0.000307	0.0238	GALNT1	0
chr22	20067263	20068271	1009	*	6.52	6.82	6.15	0.67	0.000307	0.0238	DGCR8	0
chr19	14062700	14063665	966	*	6.79	7.11	6.4	0.71	0.000307	0.0238	PODNL1; DCAF15	0
chr8	126568340	126569259	920	*	6.93	7.13	6.69	0.44	0.000311	0.024	RP11-136O12.2	14725
chr19	58906520	58907408	889	*	5.46	5.83	4.95	0.88	0.000311	0.024	AC012313.1	48
chr1	151974108	151974548	441	*	4.01	4.46	3.35	1.12	0.000313	0.0241	NBPF18P	0
chr19	18527652	18528005	354	*	5.28	5.62	4.85	0.76	0.000314	0.0241	SSBP4	1668
chr19	18043239	18044086	848	*	5.48	5.81	5.06	0.75	0.000314	0.0241	CCDC124	0
chr19	1260524	1261370	847	*	6.31	6.66	5.85	0.81	0.000314	0.0242	CIRBP	0
chr7	104726610	104727054	445	*	4.98	5.34	4.5	0.84	0.000315	0.0242	KMT2E	0
chr11	115812193	115812611	419	*	5.02	5.38	4.52	0.86	0.000316	0.0242	AP000797.4	0
